index_content,word,nature,content_type,index_word
11,前,f,pos,0
11,天下,s,pos,1
11,单买,v,pos,2
11,用上,v,pos,3
11,发现,v,pos,4
11,街上,s,pos,5
11,卖,v,pos,6
11,便宜,a,pos,7
11,店家,n,pos,8
11,网上,s,pos,9
11,他家,r,pos,10
11,贵,a,pos,11
11,老板,n,pos,12
11,面,n,pos,13
11,网上,s,pos,14
69,正品,n,pos,0
69,无疑,d,pos,1
69,信奈,nr,pos,2
69,第一次,m,pos,3
69,网购,n,pos,4
69,电,n,pos,5
69,售后服务,l,pos,6
69,很快,d,pos,7
69,上门,ns,pos,8
69,安装,v,pos,9
69,安装,v,pos,10
69,费用,n,pos,11
69,太贵,nr,pos,12
69,热水,n,pos,13
69,接到,v,pos,14
69,洗脸盆,l,pos,15
69,太阳能,n,pos,16
69,管道,n,pos,17
69,改造,v,pos,18
69,总共,b,pos,19
69,花,v,pos,20
69,安装,v,pos,21
69,材料,n,pos,22
69,详细,ad,pos,23
69,单子,n,pos,24
69,坑,n,pos,25
69,商城,ns,pos,26
69,封顶,n,pos,27
69,太,d,pos,28
69,高,a,pos,29
69,语,ng,pos,30
69,感觉,n,pos,31
69,宰,v,pos,32
69,安装,v,pos,33
69,材料,n,pos,34
69,透明,v,pos,35
69,换,v,pos,36
69,混,v,pos,37
69,水阀,n,pos,38
69,很贵,a,pos,39
69,划算,v,pos,40
69,机器,n,pos,41
69,倒,v,pos,42
69,便宜,a,pos,43
69,热水,n,pos,44
69,倒,v,pos,45
69,从度,d,pos,46
69,度用,v,pos,47
69,小时,n,pos,48
69,分钟,q,pos,49
69,洗澡,v,pos,50
69,费水,n,pos,51
69,升,zg,pos,52
69,太小,n,pos,53
69,洗,v,pos,54
69,半小时,b,pos,55
69,三十度,mq,pos,56
69,空间,n,pos,57
69,有限,a,pos,58
69,要买,v,pos,59
69,大点,n,pos,60
69,容量,n,pos,61
75,品牌,n,pos,0
75,选择,v,pos,1
75,品牌,n,pos,2
75,售后,n,pos,3
75,质量,n,pos,4
75,保障,v,pos,5
75,千元,m,pos,6
75,购买,v,pos,7
